Feature,Coefficient,Abs_Coefficient
Sex,-0.8406962479102478,0.8406962479102478
Pclass,-0.5097955509208769,0.5097955509208769
Age,-0.46792509311703756,0.46792509311703756
Title_Mr,-0.4315169748543612,0.4315169748543612
SibSp,-0.4090278312464147,0.4090278312464147
Title_Master,0.39436154312094934,0.39436154312094934
FamilySize,-0.3691536977267836,0.3691536977267836
HasCabin,0.36555088953759113,0.36555088953759113
Title_Mrs,0.32385035656919603,0.32385035656919603
FareBand_VeryHigh,0.22894837374601953,0.22894837374601953
FareBand_Low,-0.21658266116792338,0.21658266116792338
Parch,-0.18223648172280582,0.18223648172280582
Embarked_Q,0.1398110270610028,0.1398110270610028
AgeBand_Adult,0.1393883648947985,0.1393883648947985
Embarked_S,-0.11352714479545167,0.11352714479545167
AgeBand_Middle,0.10415669515969878,0.10415669515969878
AgeBand_Child,0.08873300960373369,0.08873300960373369
FareBand_Medium,-0.08222905893896953,0.08222905893896953
FareBand_High,0.07424710024200891,0.07424710024200891
Title_Miss,0.05804595413936001,0.05804595413936001
Title_Rare,-0.0410669139443373,0.0410669139443373
Embarked_C,0.033348945529381384,0.033348945529381384
IsAlone,-0.031909968817125774,0.031909968817125774
AgeBand_Teen,-0.03148933979554754,0.03148933979554754
Fare,0.017549576883577896,0.017549576883577896
AgeBand_Senior,0.0026724547977570513,0.0026724547977570513
